filename,arg_benchmark_name,arg_number_of_qubits,arg_simulator_type,arg_sub_backend,arg_device,arg_run_mode,arg_number_of_iterations,arg_optimization_level,timestamp,slurm_num_nodes,slurm_num_cpus,slurm_num_tasks,slurm_cluster,slurm_account,algo_depth,algo_width,algo_num_qubits,algo_num_clbits,algo_num_ops,algo_num_2q_gates,algo_num_cliffords,algo_num_non_cliffords,algo_critical_path_length,algo_connected_components,algo_num_parameters,algo_shots,algo_gate_measure,algo_gate_cx,algo_gate_h,transpile_opt_level,hw_circ_depth,hw_circ_width,hw_circ_num_ops,hw_circ_num_2q_gates,hw_circ_swaps,hw_circ_connected_components,hw_circ_connectivity_degree_max,hw_circ_connectivity_degree_avg,hw_gate_cz,hw_gate_measure,hw_gate_rz,hw_gate_sx,be_backend_name,be_backend_type,be_backend_is_simulator,exec_openmp_num_threads,exec_mpi_rank,exec_mpi_size,exec_transpile_time,depth_ratio,twoq_ratio,hw_gate_cx,hw_gate_h,algo_gate_rz,algo_gate_cz,algo_gate_s,algo_gate_swap,algo_gate_rx,hw_gate_x,arg_qasm_file,algo_gate_cu,algo_gate_ccx,algo_gate_cp,algo_gate_u2,algo_gate_ry,algo_gate_p,algo_gate_barrier,hw_gate_barrier,hw_gate_rx,algo_gate_reset,hw_gate_reset,hw_gate_gpi2,hw_gate_ms,hw_gate_gpi,hw_gate_ry
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt1_20260503T000047Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,1.0,2026-05-03T00:00:47.596173Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,1.0,64.0,120.0,124.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,62.0,31.0,,hardware,False,1.0,0.0,1.0,0.9877314320765436,3.764705882352941,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt2_20260416T144654Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,2.0,2026-04-16T14:46:54.659448Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,2.0,49.0,120.0,109.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,47.0,31.0,ibm_miami,hardware,False,1.0,0.0,1.0,0.9281368509400636,2.8823529411764706,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt2_20260503T000050Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,2.0,2026-05-03T00:00:50.540647Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,2.0,49.0,120.0,109.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,47.0,31.0,,hardware,False,1.0,0.0,1.0,1.0872608060017228,2.8823529411764706,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt3_20260416T144655Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,3.0,2026-04-16T14:46:55.103697Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,3.0,49.0,120.0,109.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,47.0,31.0,ibm_miami,hardware,False,1.0,0.0,1.0,4.65969311108347,2.8823529411764706,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_ibmq_ibm_miami_CPU_sync_itrs1_opt3_20260503T000140Z.json,ghz,16,ibmq,ibm_miami,CPU,sync,1,3.0,2026-05-03T00:01:40.824770Z,1,112,1,frontier,gen006,17,16,16.0,16,32,15,16,16,17,1,0,,16,15.0,1.0,3.0,49.0,120.0,109.0,15.0,0.0,105.0,2.0,0.25,15.0,16.0,47.0,31.0,,hardware,False,1.0,0.0,1.0,4.525722272694111,2.8823529411764706,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq16_nwqsim_MPI_CPU_sync_itrs1_opt0_20260419T035757Z.json,ghz,16,nwqsim,MPI,CPU,sync,1,0.0,2026-04-19T03:57:57.483520Z,1,112,1,frontier,gen006,17,16,,16,32,15,16,16,17,1,0,,16,15.0,1.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq20_ibmq_ibm_boston_CPU_sync_itrs1_opt0_20260503T001250Z.json,ghz,20,ibmq,ibm_boston,CPU,sync,1,0.0,2026-05-03T00:12:50.257170Z,1,112,1,frontier,gen006,21,20,20.0,20,40,19,20,20,21,1,0,,20,19.0,1.0,0.0,122.0,156.0,345.0,82.0,0.0,137.0,3.0,0.24358974358974358,82.0,20.0,78.0,165.0,,hardware,False,1.0,0.0,1.0,1.0632640551775694,5.809523809523809,4.315789473684211,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq20_ibmq_ibm_miami_CPU_sync_itrs1_opt0_20260416T164818Z.json,ghz,20,ibmq,ibm_miami,CPU,sync,1,0.0,2026-04-16T16:48:18.732780Z,1,112,1,frontier,gen006,21,20,20.0,20,40,19,20,20,21,1,0,,20,19.0,1.0,0.0,122.0,120.0,255.0,52.0,0.0,101.0,3.0,0.31666666666666665,52.0,20.0,78.0,105.0,ibm_miami,hardware,False,1.0,0.0,1.0,0.8953875839943066,5.809523809523809,2.736842105263158,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq20_ibmq_ibm_miami_CPU_sync_itrs1_opt0_20260503T000110Z.json,ghz,20,ibmq,ibm_miami,CPU,sync,1,0.0,2026-05-03T00:01:10.330015Z,1,112,1,frontier,gen006,21,20,20.0,20,40,19,20,20,21,1,0,,20,19.0,1.0,0.0,140.0,120.0,282.0,61.0,0.0,101.0,2.0,0.31666666666666665,61.0,20.0,78.0,123.0,,hardware,False,1.0,0.0,1.0,0.7897464516572654,6.666666666666667,3.210526315789474,,,,,,,,,,,,,,,,,,,,,,,,
ghz_nq20_ibmq_ibm_miami_CPU_sync_itrs1_opt1_20260416T164818Z.json,ghz,20,ibmq,ibm_miami,CPU,sync,1,1.0,2026-04-16T16:48:18.734812Z,1,112,1,frontier,gen006,21,20,20.0,20,40,19,20,20,21,1,0,,20,19.0,1.0,1.0,80.0,120.0,156.0,19.0,0.0,101.0,2.0,0.31666666666666665,19.0,20.0,78.0,39.0,ibm_miami,hardware,False,1.0,0.0,1.0,0.9708465320290998,3.8095238095238093,1.0,,,,,,,,,,,,,,,,,,,,,,,,
