provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,benchmark_hint,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qbacmet_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json,session_id
ibmq,d6et4ccnsg9c739d1lo0,ibm_torino,Completed,2026-02-24 16:30:42.002110+00:00,2026-02-24 16:30:43.071156+00:00,2026-02-24 16:30:46.669489+00:00,3598.3329999999996,,,runtime_inputs,133,64,124,109,15,0,16,"{""rz"": 62, ""sx"": 31, ""measure"": 16, ""cz"": 15}",qiskit,64,1,62,62,0,"{""framework"": ""qiskit"", ""critical_path_length"": 64, ""connected_components"": 1, ""num_cliffords"": 62, ""num_non_cliffords"": 62, ""num_parameters"": 0}",
ibmq,d6ess6fg4t5c7388ao1g,ibm_torino,Completed,2026-02-24 16:13:13.339776+00:00,2026-02-24 16:13:14.117214+00:00,2026-02-24 16:13:17.737204+00:00,3619.9900000000002,,,runtime_inputs,133,64,124,109,15,0,16,"{""rz"": 62, ""sx"": 31, ""measure"": 16, ""cz"": 15}",qiskit,64,1,62,62,0,"{""framework"": ""qiskit"", ""critical_path_length"": 64, ""connected_components"": 1, ""num_cliffords"": 62, ""num_non_cliffords"": 62, ""num_parameters"": 0}",
ibmq,d6esng7g4t5c7388aj20,ibm_torino,Completed,2026-02-24 16:03:12.972763+00:00,2026-02-24 16:03:25.340948+00:00,2026-02-24 16:03:47.419419+00:00,22078.471,,,runtime_inputs,133,64,124,109,15,0,16,"{""rz"": 62, ""sx"": 31, ""measure"": 16, ""cz"": 15}",qiskit,64,1,62,62,0,"{""framework"": ""qiskit"", ""critical_path_length"": 64, ""connected_components"": 1, ""num_cliffords"": 62, ""num_non_cliffords"": 62, ""num_parameters"": 0}",
ibmq,d6alltp7ce2c73fee490,ibm_torino,Completed,2026-02-18 06:23:51.615068+00:00,2026-02-18 10:55:45.120757+00:00,2026-02-18 10:55:55.654066+00:00,10533.309,,,runtime_inputs,133,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d6al0797ce2c73fede20,ibm_torino,Cancelled,2026-02-18 05:37:33.669768+00:00,,2026-02-18 05:55:34.475485+00:00,1988.574269,,,runtime_inputs,133,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d69qf0hd1ejc73c7u3i0,ibm_torino,Completed,2026-02-16 23:25:54.433026+00:00,2026-02-16 23:25:55.156868+00:00,2026-02-16 23:25:58.186231+00:00,3029.363,,,runtime_inputs,133,216,369,301,68,0,16,"{""sx"": 143, ""rz"": 142, ""cz"": 68, ""measure"": 16}",qiskit,216,1,227,142,0,"{""framework"": ""qiskit"", ""critical_path_length"": 216, ""connected_components"": 1, ""num_cliffords"": 227, ""num_non_cliffords"": 142, ""num_parameters"": 0}",
ibmq,d69p761d1ejc73c7snp0,ibm_torino,Completed,2026-02-16 22:00:56.413806+00:00,2026-02-16 22:00:57.672492+00:00,2026-02-16 22:01:01.684208+00:00,4011.716,,,runtime_inputs,133,223,375,304,71,0,16,"{""sx"": 149, ""rz"": 139, ""cz"": 71, ""measure"": 16}",qiskit,223,1,236,139,0,"{""framework"": ""qiskit"", ""critical_path_length"": 223, ""connected_components"": 1, ""num_cliffords"": 236, ""num_non_cliffords"": 139, ""num_parameters"": 0}",
ibmq,d692pghv6o8c73d7brjg,ibm_torino,Completed,2026-02-15 20:29:54.507261+00:00,2026-02-15 20:29:55.573606+00:00,2026-02-15 20:30:02.227026+00:00,6653.42,,,runtime_inputs,133,223,375,304,71,0,16,"{""sx"": 149, ""rz"": 139, ""cz"": 71, ""measure"": 16}",qiskit,223,1,236,139,0,"{""framework"": ""qiskit"", ""critical_path_length"": 223, ""connected_components"": 1, ""num_cliffords"": 236, ""num_non_cliffords"": 139, ""num_parameters"": 0}",
ibmq,d692i81v6o8c73d7bj6g,ibm_torino,Completed,2026-02-15 20:14:24.550465+00:00,2026-02-15 20:14:25.820131+00:00,2026-02-15 20:14:29.013731+00:00,3193.6,,,runtime_inputs,133,217,375,304,71,0,16,"{""sx"": 149, ""rz"": 139, ""cz"": 71, ""measure"": 16}",qiskit,217,1,236,139,0,"{""framework"": ""qiskit"", ""critical_path_length"": 217, ""connected_components"": 1, ""num_cliffords"": 236, ""num_non_cliffords"": 139, ""num_parameters"": 0}",
ibmq,d6924dje4kfs73d3msag,ibm_torino,Completed,2026-02-15 19:44:54.636665+00:00,2026-02-15 19:44:55.739812+00:00,2026-02-15 19:52:32.527650+00:00,456787.83800000005,,,runtime_inputs,133,211,375,304,71,0,16,"{""sx"": 149, ""rz"": 139, ""cz"": 71, ""measure"": 16}",qiskit,211,1,236,139,0,"{""framework"": ""qiskit"", ""critical_path_length"": 211, ""connected_components"": 1, ""num_cliffords"": 236, ""num_non_cliffords"": 139, ""num_parameters"": 0}",
ibmq,d691sulbujdc73d1m9pg,ibm_torino,Completed,2026-02-15 19:28:58.889926+00:00,2026-02-15 19:29:00.089728+00:00,2026-02-15 19:29:03.595212+00:00,3505.484,,,runtime_inputs,133,217,375,304,71,0,16,"{""sx"": 149, ""rz"": 139, ""cz"": 71, ""measure"": 16}",qiskit,217,1,236,139,0,"{""framework"": ""qiskit"", ""critical_path_length"": 217, ""connected_components"": 1, ""num_cliffords"": 236, ""num_non_cliffords"": 139, ""num_parameters"": 0}",
ibmq,d6699t3e4kfs73d0dkl0,ibm_pittsburgh,Completed,2026-02-11 14:40:52.652080+00:00,2026-02-11 14:40:53.639125+00:00,2026-02-11 14:41:11.589368+00:00,17950.243000000002,,,transpiled,156,5,8,8,0,1,4,"{""measure"": 4, ""sx"": 2, ""rz"": 2, ""barrier"": 1}",qiskit,5,1,7,2,0,"{""framework"": ""qiskit"", ""critical_path_length"": 5, ""connected_components"": 1, ""num_cliffords"": 7, ""num_non_cliffords"": 2, ""num_parameters"": 0}",
ibmq,d64fah3traac73bico6g,ibm_torino,Completed,2026-02-08 20:42:44.449124+00:00,2026-02-08 20:42:45.481376+00:00,2026-02-08 20:42:49.284909+00:00,3803.533,,,runtime_inputs,133,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d64e7ivs6ggc73fj0cog,ibm_torino,Completed,2026-02-08 19:28:11.545282+00:00,2026-02-08 19:28:12.282733+00:00,2026-02-08 19:28:15.452146+00:00,3169.413,,,runtime_inputs,133,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
