provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,session_id,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qiskit_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json
ibmq,cps44dh1tcz0008mf4h0,ibmq_mumbai,Failed,2024-01-25 11:12:54.687211+00:00,2024-01-25 11:14:14.977000+00:00,2024-01-25 11:14:41.444000+00:00,26467.0,8000.0,cps44dh1tcz0008mf4h0,runtime_inputs,27.0,3390.0,4002.0,2599.0,1403.0,1.0,7.0,"{""rz"": 1730, ""cx"": 1403, ""sx"": 862, ""measure"": 7, ""barrier"": 1}",qiskit,3390.0,1.0,2273.0,1730.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3390, ""connected_components"": 1, ""num_cliffords"": 2273, ""num_non_cliffords"": 1730, ""num_parameters"": 0}"
ibmq,cps42sk0f6rg008x4p1g,ibmq_mumbai,Completed,2024-01-25 11:09:26.256282+00:00,2024-01-25 11:09:27.633000+00:00,2024-01-25 11:10:01.594000+00:00,33961.0,8000.0,cps42sk0f6rg008x4p1g,runtime_inputs,27.0,3390.0,4002.0,2599.0,1403.0,1.0,7.0,"{""rz"": 1730, ""cx"": 1403, ""sx"": 862, ""measure"": 7, ""barrier"": 1}",qiskit,3390.0,1.0,2273.0,1730.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3390, ""connected_components"": 1, ""num_cliffords"": 2273, ""num_non_cliffords"": 1730, ""num_parameters"": 0}"
ibmq,cprjqend7p300089p9mg,ibm_cusco,Completed,2024-01-24 15:24:42.537167+00:00,2024-01-24 15:26:58.489000+00:00,2024-01-24 15:27:13.876000+00:00,15387.0,10000.0,,runtime_inputs,127.0,624.0,968.0,809.0,159.0,1.0,5.0,"{""rz"": 415, ""sx"": 345, ""ecr"": 159, ""x"": 44, ""measure"": 5, ""barrier"": 1}",qiskit,624.0,1.0,395.0,574.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 624, ""connected_components"": 1, ""num_cliffords"": 395, ""num_non_cliffords"": 574, ""num_parameters"": 0}"
ibmq,cmoig7dhk6gfkofkc5vg,simulator_statevector,Completed,2024-01-24 15:09:17.136547+00:00,2024-01-24 15:09:17.181743+00:00,2024-01-24 15:09:17.356499+00:00,174.756,1000.0,,runtime_inputs,2.0,3.0,4.0,3.0,1.0,0.0,2.0,"{""measure"": 2, ""u2"": 1, ""cx"": 1}",qiskit,3.0,1.0,3.0,1.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3, ""connected_components"": 1, ""num_cliffords"": 3, ""num_non_cliffords"": 1, ""num_parameters"": 0}"
ibmq,cmoi0f779cpiv1cvk0ig,simulator_statevector,Completed,2024-01-24 14:35:40.777176+00:00,2024-01-24 14:35:40.838356+00:00,2024-01-24 14:35:41.097210+00:00,258.854,1000.0,,runtime_inputs,2.0,3.0,4.0,3.0,1.0,0.0,2.0,"{""measure"": 2, ""h"": 1, ""cx"": 1}",qiskit,3.0,1.0,4.0,0.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3, ""connected_components"": 1, ""num_cliffords"": 4, ""num_non_cliffords"": 0, ""num_parameters"": 0}"
ibmq,cld4amktstu8k28k9nkg,simulator_statevector,Failed,2023-11-19 17:26:50.226202+00:00,2023-11-19 17:26:50.600196+00:00,2023-11-19 17:26:50.664510+00:00,64.314,10000.0,cld4amktstu8k28k9nkg,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld4ajtlqrutvh16lcv0,simulator_statevector,Failed,2023-11-19 17:26:39.892696+00:00,2023-11-19 17:26:40.268184+00:00,2023-11-19 17:26:40.389925+00:00,121.741,10000.0,cld4ajtlqrutvh16lcv0,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld4aibk8l5ohou1k4c0,simulator_statevector,Failed,2023-11-19 17:26:33.811261+00:00,2023-11-19 17:26:34.072564+00:00,2023-11-19 17:26:34.152085+00:00,79.521,10000.0,cld4aibk8l5ohou1k4c0,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld4ah446cn44kds4eig,simulator_statevector,Failed,2023-11-19 17:26:28.603112+00:00,2023-11-19 17:26:29.138502+00:00,2023-11-19 17:26:29.255279+00:00,116.777,10000.0,cld4ah446cn44kds4eig,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld4agapen43j474ned0,simulator_statevector,Failed,2023-11-19 17:26:25.223071+00:00,2023-11-19 17:26:25.582722+00:00,2023-11-19 17:26:25.718280+00:00,135.55800000000002,10000.0,cld4agapen43j474ned0,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
